timestamp_utc,interface_id,interface_description,facility,direction,peak_mbps,avg_mbps,p95_mbps,p50_mbps,min_mbps,packets_per_second,bytes_transferred_gb,errors,drops,crc_errors,protocol_http_pct,protocol_sql_pct,protocol_storage_pct,protocol_ssh_pct,protocol_dns_pct,protocol_other_pct,utilization_pct,qos_class
2024-12-01 00:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,inbound,1663.06,1196.51,1393.61,1075.31,630.24,233289,0.538,2,5,0,36.9,26.3,15.6,2.5,3.0,15.7,16.6,Standard
2024-12-01 03:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,inbound,1746.46,993.38,1581.05,795.81,521.81,233856,0.447,1,6,0,27.6,34.4,20.2,1.2,1.5,15.1,17.5,Real-Time
2024-12-01 03:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,inbound,1735.5,1229.68,1490.48,1079.66,697.84,240368,0.553,8,3,1,28.3,26.5,15.3,2.3,2.4,25.2,17.4,Bulk-Transfer
2024-12-01 03:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,2753.11,1790.49,2527.49,1772.44,644.23,224176,0.806,2,1,0,32.1,21.7,24.5,2.9,1.5,17.3,27.5,Standard
2024-12-01 03:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,outbound,2118.4,1394.17,1909.82,1143.75,741.34,295559,0.627,9,1,2,36.7,25.2,19.3,2.5,2.0,14.3,21.2,Standard
2024-12-01 04:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,2184.28,1381.7,1877.38,1380.02,463.61,291625,0.622,9,3,2,30.7,33.6,18.0,3.4,1.9,12.4,21.8,Real-Time
2024-12-01 04:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,outbound,2258.33,1493.64,2058.21,1330.54,756.1,326720,0.672,6,6,0,33.2,29.7,24.1,4.3,1.1,7.6,22.6,Business-Critical
2024-12-01 05:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,2711.08,1737.11,2232.2,1469.22,872.53,380191,0.782,18,0,2,33.6,31.4,16.8,3.1,1.9,13.2,27.1,Standard
2024-12-01 05:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,inbound,1563.24,984.6,1470.38,873.95,501.63,138346,0.443,5,4,0,35.6,24.7,15.1,2.6,1.4,20.6,15.6,Real-Time
2024-12-01 05:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,2360.61,1488.09,2102.47,1325.99,590.08,220022,0.67,11,1,2,30.7,32.8,19.1,2.3,1.9,13.2,23.6,Bulk-Transfer
2024-12-01 06:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,inbound,1791.54,1177.33,1642.49,953.41,567.38,205616,0.53,4,6,0,34.1,25.3,21.4,3.5,2.4,13.3,17.9,Business-Critical
2024-12-01 09:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,2919.64,1995.22,2698.23,1651.4,748.21,364612,0.898,11,8,0,35.7,27.7,16.2,1.3,1.3,17.8,29.2,Bulk-Transfer
2024-12-01 09:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,outbound,2587.07,1353.78,2294.72,1148.53,464.44,284698,0.609,9,5,0,33.6,22.8,21.7,3.1,1.7,17.1,25.9,Real-Time
2024-12-01 11:00:00,WAN-NWK-02,WAN Secondary - Facility A - Lumen MPLS,Newark,outbound,2808.28,1776.86,2604.06,1431.57,557.29,350758,0.8,8,10,1,36.5,26.2,21.4,3.0,2.3,10.6,28.1,Standard
2024-12-01 12:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,inbound,1569.81,1076.25,1342.58,981.97,410.57,137587,0.484,5,4,0,28.6,30.0,20.3,3.6,1.1,16.4,15.7,Bulk-Transfer
2024-12-01 18:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,inbound,2036.31,1372.62,1674.19,1116.63,519.75,168581,0.618,0,3,1,34.4,27.5,19.2,3.8,1.2,13.9,20.4,Business-Critical
2024-12-01 18:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,inbound,1508.07,968.87,1247.41,904.17,481.93,139187,0.436,0,1,0,27.5,34.3,20.2,4.1,2.4,11.5,15.1,Business-Critical
2024-12-01 19:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,2189.87,1210.72,1928.37,1067.01,557.87,323059,0.545,6,7,2,32.0,32.8,15.9,4.2,1.6,13.5,21.9,Real-Time
2024-12-01 19:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,outbound,2496.51,1489.29,2185.61,1296.85,852.6,247775,0.67,7,2,0,34.2,29.3,21.5,3.0,2.8,9.2,25.0,Bulk-Transfer
2024-12-01 21:00:00,WAN-NWK-02,WAN Secondary - Facility A - Lumen MPLS,Newark,inbound,1704.39,986.69,1544.29,907.8,355.11,139421,0.444,1,2,0,32.1,21.7,22.8,2.9,2.8,17.7,17.0,Standard
2024-12-01 22:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,inbound,1599.52,1059.23,1497.17,910.68,365.41,213669,0.477,0,6,2,31.1,24.8,16.4,1.1,2.0,24.6,16.0,Standard
2024-12-02 01:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,outbound,1194.3,691.84,1080.48,597.79,224.64,103566,0.311,4,0,0,28.2,29.4,17.1,3.7,2.7,18.9,11.9,Business-Critical
2024-12-02 02:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,inbound,752.32,502.76,687.9,423.5,287.42,105025,0.226,1,1,0,28.3,32.5,16.9,1.7,2.6,18.0,7.5,Real-Time
2024-12-02 02:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,1351.8,955.01,1283.21,852.11,443.98,135647,0.43,0,2,0,28.0,28.7,24.5,2.4,2.3,14.1,13.5,Business-Critical
2024-12-02 03:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,inbound,846.67,502.98,699.05,455.68,185.52,115282,0.226,3,2,0,31.4,23.8,22.7,4.6,1.2,16.3,8.5,Bulk-Transfer
2024-12-02 03:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,outbound,1095.37,570.79,1004.1,457.45,260.72,127483,0.257,3,1,1,31.1,21.6,19.3,3.3,1.5,23.2,11.0,Bulk-Transfer
2024-12-02 04:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,1301.86,899.58,1179.1,854.21,390.4,167876,0.405,2,0,0,32.6,31.8,23.0,3.5,2.4,6.7,13.0,Real-Time
2024-12-02 04:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,1221.42,812.53,1090.35,744.75,328.46,167440,0.366,3,4,0,31.8,26.1,15.0,1.7,2.0,23.4,12.2,Real-Time
2024-12-02 05:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,1256.71,797.17,1169.19,649.11,277.89,120613,0.359,2,2,1,34.1,25.9,23.9,4.1,2.9,9.1,12.6,Bulk-Transfer
2024-12-02 05:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,inbound,813.99,453.21,669.92,428.54,225.97,118704,0.204,5,0,0,27.5,21.5,15.6,4.5,2.1,28.8,8.1,Real-Time
2024-12-02 09:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,8032.15,4790.7,7589.4,4419.38,2336.22,770443,2.156,15,18,2,31.4,24.7,21.1,2.8,1.3,18.7,80.3,Business-Critical
2024-12-02 09:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,9500.0,5650.52,8842.38,5075.8,1928.26,888517,2.543,2,13,0,38.9,34.3,17.2,3.7,1.4,4.5,95.0,Business-Critical
2024-12-02 09:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,9500.0,5798.06,8811.36,4687.63,3471.59,1104937,2.609,25,2,8,30.8,31.5,24.6,1.8,1.9,9.4,95.0,Standard
2024-12-02 10:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,9500.0,5214.75,8739.91,4225.32,2046.37,1245557,2.347,61,28,4,34.4,21.8,16.3,1.8,2.2,23.5,95.0,Standard
2024-12-02 10:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,inbound,8933.01,5983.93,7743.35,4830.03,3174.79,916504,2.693,24,26,1,36.4,32.6,15.6,2.9,1.2,11.3,89.3,Standard
2024-12-02 10:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,9500.0,5726.14,8049.16,4820.32,1817.79,1139959,2.577,40,33,1,32.3,30.3,24.3,4.9,1.6,6.6,95.0,Standard
2024-12-02 11:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,9500.0,5537.55,7829.06,4888.4,2487.0,918032,2.492,28,26,4,28.2,24.5,16.1,4.1,2.6,24.5,95.0,Real-Time
2024-12-02 11:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,9500.0,5605.6,8183.33,4643.19,2866.18,948373,2.523,15,5,1,29.7,33.4,20.4,1.2,1.1,14.2,95.0,Real-Time
2024-12-02 11:00:00,IX-NWK-STM-01,Inter-Facility Dark Fiber Newark-Stamford,Inter-DC,inbound,5769.2,3807.23,5229.63,3646.4,2150.02,644592,1.713,1,2,3,26.7,27.2,23.5,2.1,1.7,18.8,57.7,Business-Critical
2024-12-02 12:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,9500.0,6501.84,8007.57,6444.48,2086.33,832315,2.926,38,24,6,29.9,29.7,15.6,1.9,1.3,21.6,95.0,Real-Time
2024-12-02 12:00:00,WAN-NWK-02,WAN Secondary - Facility A - Lumen MPLS,Newark,outbound,9500.0,6047.18,8545.19,5455.07,3351.9,1326915,2.721,7,23,8,39.5,20.0,20.6,4.9,1.2,13.8,95.0,Standard
2024-12-02 12:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,9500.0,5233.11,9021.86,4887.79,1780.74,807711,2.355,1,4,7,34.9,34.6,16.4,1.5,2.6,10.0,95.0,Bulk-Transfer
2024-12-02 12:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,8051.88,5066.51,6986.67,5044.46,2383.52,1041445,2.28,7,30,1,27.1,31.0,24.8,4.9,2.6,9.6,80.5,Bulk-Transfer
2024-12-02 13:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,9500.0,5642.56,8006.62,5397.14,2092.59,880238,2.539,33,1,5,39.8,34.5,21.0,4.3,2.7,0,95.0,Bulk-Transfer
2024-12-02 13:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,9500.0,6827.11,8176.89,5476.13,2065.49,805188,3.072,26,3,8,26.6,26.7,17.2,2.1,1.4,26.0,95.0,Real-Time
2024-12-02 13:00:00,WAN-STM-02,WAN Secondary - Facility B - Lumen MPLS,Stamford,outbound,9500.0,6261.74,8102.87,5594.18,3637.16,1184789,2.818,59,17,6,35.4,30.0,22.7,2.0,2.6,7.3,95.0,Standard
2024-12-02 14:00:00,WAN-NWK-01,WAN Primary - Facility A - AT&T MPLS,Newark,outbound,9500.0,5515.37,7858.17,5512.08,2725.27,1002961,2.482,21,2,7,36.4,24.3,17.0,3.2,2.9,16.2,95.0,Business-Critical
2024-12-02 14:00:00,WAN-STM-01,WAN Primary - Facility B - AT&T MPLS,Stamford,outbound,9500.0,6658.86,8803.61,5456.66,3218.68,1315509,2.996,8,6,1,32.5,32.0,17.2,4.2,1.9,12.2,95.0,Bulk-Transfer
