timestamp,sensor_id,sensor_type,location,rack_id,facility,reading_value,unit,threshold_low,threshold_high,alert_status,calibration_date,sensor_firmware
2025-02-01 00:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.7,°C,25.0,45.0,OK,2024-12-21,v2.1.4
2025-02-01 00:00:00,LEAK-NWK-05,Water Leak,Zone 5 Under-floor,,Newark,0,boolean,0,1,OK,2024-10-15,v2.2.0
2025-02-01 00:00:00,CRAC-NWK-3-RET,CRAC Return Temp,CRAC-N3 Return,,Newark,26.6,°C,20.0,35.0,OK,2024-11-21,v2.1.4
2025-02-01 00:00:00,LEAK-STM-02,Water Leak,Zone 2 Under-floor,,Stamford,0,boolean,0,1,OK,2024-08-07,v2.2.0
2025-02-01 01:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.2,°C,25.0,45.0,OK,2024-07-05,v2.2.1
2025-02-01 01:00:00,TEMP-STM-B-HOT,Temperature,Row B Hot Aisle,STM-R15,Stamford,30.1,°C,25.0,45.0,OK,2024-08-11,v2.2.1
2025-02-01 01:00:00,CRAC-NWK-2-RET,CRAC Return Temp,CRAC-N2 Return,,Newark,31.1,°C,20.0,35.0,OK,2024-11-19,v2.2.0
2025-02-01 02:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.5,°C,25.0,45.0,OK,2024-06-08,v2.1.4
2025-02-01 02:00:00,LEAK-NWK-08,Water Leak,Zone 8 Under-floor,,Newark,0,boolean,0,1,OK,2024-08-17,v2.2.1
2025-02-01 02:00:00,TEMP-STM-E-COLD,Temperature,Row E Cold Aisle,STM-R41,Stamford,20.9,°C,18.0,27.0,OK,2024-08-18,v2.1.4
2025-02-01 02:00:00,TEMP-NWK-B-HOT,Temperature,Row B Hot Aisle,NWK-R15,Newark,30.8,°C,25.0,45.0,OK,2024-08-16,v2.1.6
2025-02-01 03:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.9,°C,25.0,45.0,OK,2024-06-06,v2.1.6
2025-02-01 04:00:00,TEMP-NWK-C-HOT,Temperature,Row C Hot Aisle,NWK-R25,Newark,35.7,°C,25.0,45.0,OK,2024-08-01,v2.2.0
2025-02-01 04:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,38.0,°C,25.0,45.0,OK,2024-08-21,v2.2.1
2025-02-01 04:00:00,AIRFLOW-STM-B,Airflow,Row B Floor Tile,STM-R12,Stamford,730,CFM,200,2000,OK,2024-09-28,v2.1.6
2025-02-01 04:00:00,HUMID-NWK-G,Humidity,Row G,NWK-R63,Newark,50.7,%RH,30.0,60.0,OK,2024-11-14,v2.2.0
2025-02-01 04:00:00,PWR-NWK-UPS3,UPS Load,UPS-N3,,Newark,91.0,kW,0,200,OK,2024-10-02,v2.1.6
2025-02-01 05:00:00,TEMP-NWK-C-HOT,Temperature,Row C Hot Aisle,NWK-R25,Newark,35.6,°C,25.0,45.0,OK,2024-07-02,v2.1.6
2025-02-01 05:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,38.3,°C,25.0,45.0,OK,2024-12-05,v2.2.0
2025-02-01 05:00:00,PWR-NWK-UPS3,UPS Load,UPS-N3,,Newark,85.0,kW,0,200,OK,2024-11-13,v2.1.6
2025-02-01 05:00:00,AIRFLOW-STM-D,Airflow,Row D Floor Tile,STM-R32,Stamford,1351,CFM,200,2000,OK,2024-11-02,v2.2.0
2025-02-01 06:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,37.6,°C,25.0,45.0,OK,2024-09-16,v2.2.0
2025-02-01 07:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.8,°C,25.0,45.0,OK,2024-06-19,v2.2.0
2025-02-01 07:00:00,TEMP-NWK-F-COLD,Temperature,Row F Cold Aisle,NWK-R51,Newark,21.0,°C,18.0,27.0,OK,2024-10-14,v2.2.1
2025-02-01 07:00:00,LEAK-NWK-01,Water Leak,Zone 1 Under-floor,,Newark,0,boolean,0,1,OK,2024-10-20,v2.1.6
2025-02-01 07:00:00,HUMID-STM-E,Humidity,Row E,STM-R43,Stamford,46.5,%RH,30.0,60.0,OK,2024-09-24,v2.2.1
2025-02-01 08:00:00,TEMP-NWK-C-HOT,Temperature,Row C Hot Aisle,NWK-R25,Newark,35.7,°C,25.0,45.0,OK,2024-10-22,v2.1.4
2025-02-01 08:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.7,°C,25.0,45.0,OK,2024-06-16,v2.1.4
2025-02-01 08:00:00,CRAC-STM-1-RET,CRAC Return Temp,CRAC-S1 Return,,Stamford,32.6,°C,20.0,35.0,OK,2024-07-24,v2.2.0
2025-02-01 09:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,37.7,°C,25.0,45.0,OK,2024-10-22,v2.2.1
2025-02-01 09:00:00,TEMP-STM-D-COLD,Temperature,Row D Cold Aisle,STM-R31,Stamford,21.3,°C,18.0,27.0,OK,2024-11-05,v2.1.4
2025-02-01 09:00:00,CRAC-NWK-6-RET,CRAC Return Temp,CRAC-N6 Return,,Newark,30.1,°C,20.0,35.0,OK,2024-09-11,v2.1.4
2025-02-01 10:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.7,°C,25.0,45.0,OK,2024-07-06,v2.1.6
2025-02-01 10:00:00,CRAC-STM-3-SUP,CRAC Supply Temp,CRAC-S3 Supply,,Stamford,14.8,°C,10.0,18.0,OK,2024-12-25,v2.1.6
2025-02-01 11:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.6,°C,25.0,45.0,OK,2024-12-18,v2.1.6
2025-02-01 11:00:00,CRAC-NWK-2-RET,CRAC Return Temp,CRAC-N2 Return,,Newark,31.7,°C,20.0,35.0,OK,2024-10-03,v2.1.6
2025-02-01 12:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.4,°C,25.0,45.0,OK,2024-07-07,v2.1.4
2025-02-01 13:00:00,HUMID-NWK-B,Humidity,Row B,NWK-R13,Newark,48.2,%RH,30.0,60.0,OK,2024-06-17,v2.2.0
2025-02-01 14:00:00,CRAC-STM-4-RET,CRAC Return Temp,CRAC-S4 Return,,Stamford,26.7,°C,20.0,35.0,OK,2024-07-06,v2.1.6
2025-02-01 14:00:00,LEAK-STM-04,Water Leak,Zone 4 Under-floor,,Stamford,0,boolean,0,1,OK,2024-09-22,v2.2.1
2025-02-01 14:00:00,CRAC-STM-1-RET,CRAC Return Temp,CRAC-S1 Return,,Stamford,30.8,°C,20.0,35.0,OK,2024-08-19,v2.2.0
2025-02-01 15:00:00,AIRFLOW-NWK-B,Airflow,Row B Floor Tile,NWK-R12,Newark,1348,CFM,200,2000,OK,2024-10-10,v2.1.6
2025-02-01 15:00:00,CRAC-STM-2-RET,CRAC Return Temp,CRAC-S2 Return,,Stamford,28.0,°C,20.0,35.0,OK,2024-08-16,v2.1.6
2025-02-01 16:00:00,TEMP-NWK-B-COLD,Temperature,Row B Cold Aisle,NWK-R11,Newark,19.3,°C,18.0,27.0,OK,2024-06-06,v2.2.1
2025-02-01 18:00:00,TEMP-STM-A-HOT,Temperature,Row A Hot Aisle,STM-R05,Stamford,35.5,°C,25.0,45.0,OK,2024-07-06,v2.1.4
2025-02-01 18:00:00,LEAK-STM-01,Water Leak,Zone 1 Under-floor,,Stamford,0,boolean,0,1,OK,2024-09-24,v2.1.6
2025-02-01 18:00:00,TEMP-NWK-A-COLD,Temperature,Row A Cold Aisle,NWK-R01,Newark,19.7,°C,18.0,27.0,OK,2024-10-15,v2.1.4
2025-02-01 18:00:00,AIRFLOW-NWK-F,Airflow,Row F Floor Tile,NWK-R52,Newark,746,CFM,200,2000,OK,2024-09-24,v2.2.0
2025-02-01 19:00:00,TEMP-STM-D-HOT,Temperature,Row D Hot Aisle,STM-R35,Stamford,35.4,°C,25.0,45.0,OK,2024-09-19,v2.1.6
2025-02-01 19:00:00,TEMP-NWK-B-HOT,Temperature,Row B Hot Aisle,NWK-R15,Newark,27.8,°C,25.0,45.0,OK,2024-12-11,v2.2.1
2025-02-01 19:00:00,AIRFLOW-NWK-B,Airflow,Row B Floor Tile,NWK-R12,Newark,1128,CFM,200,2000,OK,2024-08-22,v2.2.1
2025-02-01 19:00:00,TEMP-STM-E-COLD,Temperature,Row E Cold Aisle,STM-R41,Stamford,19.2,°C,18.0,27.0,OK,2024-07-06,v2.1.4
2025-02-01 20:00:00,HUMID-NWK-D,Humidity,Row D,NWK-R33,Newark,46.4,%RH,30.0,60.0,OK,2024-10-09,v2.1.4
2025-02-01 20:00:00,AIRFLOW-STM-E,Airflow,Row E Floor Tile,STM-R42,Stamford,814,CFM,200,2000,OK,2024-12-26,v2.2.1
2025-02-01 20:00:00,AIRFLOW-NWK-A,Airflow,Row A Floor Tile,NWK-R02,Newark,1051,CFM,200,2000,OK,2024-11-23,v2.2.0
2025-02-01 20:00:00,TEMP-STM-B-COLD,Temperature,Row B Cold Aisle,STM-R11,Stamford,19.1,°C,18.0,27.0,OK,2024-11-19,v2.2.0
2025-02-01 21:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.1,°C,25.0,45.0,OK,2024-06-14,v2.1.4
2025-02-01 21:00:00,CRAC-STM-3-RET,CRAC Return Temp,CRAC-S3 Return,,Stamford,29.9,°C,20.0,35.0,OK,2024-06-13,v2.1.6
2025-02-01 22:00:00,TEMP-NWK-E-COLD,Temperature,Row E Cold Aisle,NWK-R41,Newark,37.2,°C,18.0,27.0,OK,2024-09-15,v2.1.4
2025-02-01 22:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.6,°C,25.0,45.0,OK,2024-06-20,v2.1.6
2025-02-01 22:00:00,TEMP-STM-D-COLD,Temperature,Row D Cold Aisle,STM-R31,Stamford,19.5,°C,18.0,27.0,OK,2024-11-10,v2.2.1
2025-02-01 22:00:00,TEMP-NWK-D-HOT,Temperature,Row D Hot Aisle,NWK-R35,Newark,27.6,°C,25.0,45.0,OK,2024-11-18,v2.2.0
2025-02-01 23:00:00,TEMP-STM-B-HOT,Temperature,Row B Hot Aisle,STM-R15,Stamford,37.9,°C,25.0,45.0,OK,2024-11-18,v2.2.1
2025-02-01 23:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.6,°C,25.0,45.0,OK,2024-11-11,v2.2.1
2025-02-01 23:00:00,PWR-STM-UPS1,UPS Load,UPS-S1,,Stamford,72.5,kW,0,200,OK,2024-08-03,v2.2.1
2025-02-01 23:00:00,TEMP-STM-A-HOT,Temperature,Row A Hot Aisle,STM-R05,Stamford,28.8,°C,25.0,45.0,OK,2024-11-13,v2.2.1
2025-02-02 00:00:00,HUMID-NWK-D,Humidity,Row D,NWK-R33,Newark,49.0,%RH,30.0,60.0,OK,2024-09-12,v2.1.4
2025-02-02 00:00:00,LEAK-NWK-06,Water Leak,Zone 6 Under-floor,,Newark,0,boolean,0,1,OK,2024-08-07,v2.2.0
2025-02-02 00:00:00,CRAC-STM-4-RET,CRAC Return Temp,CRAC-S4 Return,,Stamford,27.2,°C,20.0,35.0,OK,2024-10-02,v2.1.4
2025-02-02 01:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,35.1,°C,25.0,45.0,OK,2024-12-15,v2.2.0
2025-02-02 02:00:00,TEMP-NWK-C-HOT,Temperature,Row C Hot Aisle,NWK-R25,Newark,35.1,°C,25.0,45.0,OK,2024-12-23,v2.1.4
2025-02-02 02:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.6,°C,25.0,45.0,OK,2024-09-04,v2.1.4
2025-02-02 03:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,37.1,°C,25.0,45.0,OK,2024-09-16,v2.1.6
2025-02-02 03:00:00,LEAK-NWK-06,Water Leak,Zone 6 Under-floor,,Newark,0,boolean,0,1,OK,2024-12-13,v2.1.4
2025-02-02 03:00:00,AIRFLOW-STM-A,Airflow,Row A Floor Tile,STM-R02,Stamford,862,CFM,200,2000,OK,2024-09-08,v2.1.4
2025-02-02 04:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.1,°C,25.0,45.0,OK,2024-06-18,v2.2.0
2025-02-02 05:00:00,TEMP-STM-E-HOT,Temperature,Row E Hot Aisle,STM-R45,Stamford,36.8,°C,25.0,45.0,OK,2024-10-19,v2.2.1
2025-02-02 05:00:00,PWR-NWK-UPS2,UPS Load,UPS-N2,,Newark,85.4,kW,0,200,OK,2024-06-25,v2.2.1
